operation,num_reads,t_per_read_s
CSV,100,0.001773607731
CSV,500,0.00189596796
CSV,1000,0.001148848295
CSV,5000,0.001242133617
CSV,10000,0.002236692762
HDF store,100,0.003548719883
HDF store,500,0.003339304447
HDF store,1000,0.00323323226
HDF store,5000,0.003420966625
HDF store,10000,0.003509585786
df HDF,100,0.004529428482
df HDF,500,0.004349402428
df HDF,1000,0.004092223883
df HDF,5000,0.004302292585
df HDF,10000,0.004561999202
df HDF store,100,0.003378279209
df HDF store,500,0.003412981987
df HDF store,1000,0.003140192747
df HDF store,5000,0.003307478762
df HDF store,10000,0.003369173527